report_month,release_date,category,current_month_units,prior_year_month_units,month_pct_change,ytd_current_units,ytd_prior_units,ytd_pct_change,beginning_inventory,source_title,source_pdf_url,scraped_at_utc
February 2026,3/10/2026,< 40 HP,6014,6792,-11.5,11035,12159,-9.2,60132,February 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/40c17bf0-f0ae-4c8a-848f-9a04d2204e8c/February-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-04-10T07:59:53
February 2026,3/10/2026,40 < 100 HP,2738,3024,-9.5,5601,5651,-0.9,23707,February 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/40c17bf0-f0ae-4c8a-848f-9a04d2204e8c/February-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-04-10T07:59:53
February 2026,3/10/2026,100+ HP,904,1218,-25.8,1721,2321,-25.9,6301,February 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/40c17bf0-f0ae-4c8a-848f-9a04d2204e8c/February-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-04-10T07:59:53
February 2026,3/10/2026,Total 2WD Farm Tractors,9656,11034,-12.5,18357,20131,-8.8,90140,February 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/40c17bf0-f0ae-4c8a-848f-9a04d2204e8c/February-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-04-10T07:59:53
February 2026,3/10/2026,4WD Farm Tractors,148,133,11.3,230,234,-1.7,507,February 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/40c17bf0-f0ae-4c8a-848f-9a04d2204e8c/February-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-04-10T07:59:53
February 2026,3/10/2026,Total Farm Tractors,9804,11167,-12.2,18587,20365,-8.7,90647,February 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/40c17bf0-f0ae-4c8a-848f-9a04d2204e8c/February-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-04-10T07:59:53
February 2026,3/10/2026,Self-Prop Combines,159,182,-12.6,322,279,15.4,733,February 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/40c17bf0-f0ae-4c8a-848f-9a04d2204e8c/February-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-04-10T07:59:53
March 2026,4/10/2026,< 40 HP,9883,10977,-10.0,20974,23136,-9.3,63228,March 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/2c835424-929b-4c33-92a0-51f3bc2518d5/March-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-05-11T09:59:56
March 2026,4/10/2026,40 < 100 HP,3789,3758,0.8,9396,9409,-0.1,24777,March 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/2c835424-929b-4c33-92a0-51f3bc2518d5/March-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-05-11T09:59:56
March 2026,4/10/2026,100+ HP,1164,1540,-24.4,2883,3861,-25.3,6465,March 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/2c835424-929b-4c33-92a0-51f3bc2518d5/March-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-05-11T09:59:56
March 2026,4/10/2026,Total 2WD Farm Tractors,14836,16275,-8.8,33253,36406,-8.7,94470,March 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/2c835424-929b-4c33-92a0-51f3bc2518d5/March-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-05-11T09:59:56
March 2026,4/10/2026,4WD Farm Tractors,225,301,-25.2,455,535,-15.0,536,March 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/2c835424-929b-4c33-92a0-51f3bc2518d5/March-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-05-11T09:59:56
March 2026,4/10/2026,Total Farm Tractors,15061,16576,-9.1,33708,36941,-8.8,95006,March 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/2c835424-929b-4c33-92a0-51f3bc2518d5/March-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-05-11T09:59:56
March 2026,4/10/2026,Self-Prop Combines,180,241,-25.3,502,520,-3.5,794,March 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/2c835424-929b-4c33-92a0-51f3bc2518d5/March-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-05-11T09:59:56
April 2026,5/11/2026,< 40 HP,13586,15622,-13.0,34715,38757,-10.4,63950,April 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/1306f744-3e3a-41f6-8af9-5af7a0fea4eb/April-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-06-10T10:32:45
